Political Party,Denomination
BHARTIYA JANTA PARTY,36134262000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",8861260000
ALL INDIA TRINAMOOL CONGRESS,5724234000
BIJU JANATA DAL,2780000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2245000000
DMK PARTY IN PARLIAMENT,2150000000
TELUGU DESAM PARTY,1501300000
BHARAT RASHTRA SAMITHI,1281529000
SHIVSENA (POLITICAL PARTY),1258814000
RASTRIYA JANTA DAL,725000000
SIKKIM KRANTIKARI MORCHA,290000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,188000000
JANASENA PARTY,170000000
JHARKHAND MUKTI MORCHA,115000000
ADYAKSHA SAMAJVADI PARTY,108400000
AAM AADMI PARTY,72500000
SHIROMANI AKALI DAL,67600000
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,60500000
SIKKIM DEMOCRATIC FRONT,55000000
BIHAR PRADESH JANTA DAL(UNITED),40000000
JANATA DAL ( SECULAR ),25000000
JANTA DAL,10000000
JAMMU AND KASHMIR NATIONAL CONFERENCE,5000000
CONGRESS PARTY MAHARASHTRA PRADESH,3000000
,0
